region,keyword,id,name,employer,published_at,url,salary_from,salary_to,currency
Москва,etl,124378795,Разработчик python,билайн,2025-08-28T15:49:18+0300,https://hh.ru/vacancy/124378795,,,
Москва,etl,123578946,Аналитик DWH,Дата Дженерейшн,2025-08-28T11:10:20+0300,https://hh.ru/vacancy/123578946,,240000.0,RUR
Москва,etl,124492950,Data Engineer,Деко Системс,2025-08-26T12:53:20+0300,https://hh.ru/vacancy/124492950,,,
Москва,etl,124493903,"Разработчик системы аналитики (Content Factory Analytics, PRO)",Ромадина Юлия Сергеевна,2025-08-26T13:05:39+0300,https://hh.ru/vacancy/124493903,200000.0,,RUR
Москва,etl,124551823,Дата инженер / Инженер по обработке данных,ФГУП ГлавНИВЦ Управления делами Президента Российской Федерации,2025-08-27T14:57:31+0300,https://hh.ru/vacancy/124551823,,,
Москва,etl,123746950,Data Engineer/ инженер данных,Мокка,2025-08-25T11:43:17+0300,https://hh.ru/vacancy/123746950,,,
Москва,etl,124536619,Младший аналитик,GlowByte,2025-08-27T11:18:20+0300,https://hh.ru/vacancy/124536619,,,
Москва,etl,124481285,Разработчик BI,Ланцет,2025-08-26T10:40:15+0300,https://hh.ru/vacancy/124481285,,,
Москва,etl,124561125,Аналитик данных / Инженер данных/ Data Scientist / Data Analyst / Data engineer,СтандартПроект,2025-08-27T17:41:59+0300,https://hh.ru/vacancy/124561125,,,
Москва,etl,124488239,Аналитик DWH,IT-Implant,2025-08-26T11:54:00+0300,https://hh.ru/vacancy/124488239,220000.0,250000.0,RUR
Москва,etl,124510727,Аналитик BI отчетности и баз данных,JTI,2025-08-26T17:49:22+0300,https://hh.ru/vacancy/124510727,,,
Москва,etl,124555279,Старший Data Engineer,Cloud.ru,2025-08-27T15:56:32+0300,https://hh.ru/vacancy/124555279,,,
Москва,etl,124270986,Аналитик данных,ФК Спартак-Москва,2025-08-26T11:51:34+0300,https://hh.ru/vacancy/124270986,,,
Москва,etl,124552811,Аналитик данных,Бюро кредитных историй Скоринг Бюро,2025-08-27T15:12:05+0300,https://hh.ru/vacancy/124552811,,,
Москва,etl,124340536,Data Engineer (Big Data),Платформа ОФД,2025-08-27T17:26:27+0300,https://hh.ru/vacancy/124340536,,,
Москва,etl,123966577,Программист-разработчик Python (работа с чужим кодом),FINAMP,2025-08-27T15:04:45+0300,https://hh.ru/vacancy/123966577,150000.0,150000.0,RUR
Санкт-Петербург,etl,124546822,Data Engineer [Middle],Диплей,2025-08-27T13:42:51+0300,https://hh.ru/vacancy/124546822,,,
Санкт-Петербург,etl,124339114,Python-разработчик в отдел аналитики данных,MIE&MIESTILO,2025-08-27T14:48:23+0300,https://hh.ru/vacancy/124339114,,,
Санкт-Петербург,etl,124350305,Аналитик данных,Smartup,2025-08-28T09:03:25+0300,https://hh.ru/vacancy/124350305,,,
Санкт-Петербург,etl,124584143,Инженер данных,"Лента, федеральная розничная сеть",2025-08-28T11:17:10+0300,https://hh.ru/vacancy/124584143,,,
Санкт-Петербург,etl,124485914,Старший BI Разработчик,SKL Group,2025-08-26T11:28:51+0300,https://hh.ru/vacancy/124485914,,,
Санкт-Петербург,etl,124276508,BI разработчик,Группа BLcons,2025-08-26T12:58:48+0300,https://hh.ru/vacancy/124276508,,,
Санкт-Петербург,etl,124363577,Data-инженер/Python-разработчик,MIE&MIESTILO,2025-08-28T12:20:42+0300,https://hh.ru/vacancy/124363577,,,
Санкт-Петербург,etl,119445127,Data Engineer,Леста Игры,2025-08-27T17:51:32+0300,https://hh.ru/vacancy/119445127,,,
Санкт-Петербург,etl,124580138,Инженер данных / Data Engineer (Middle),Челеби-Текстиль,2025-08-28T10:18:04+0300,https://hh.ru/vacancy/124580138,150000.0,,RUR
Санкт-Петербург,etl,124577521,Разработчик BI,SKL Group,2025-08-28T09:38:13+0300,https://hh.ru/vacancy/124577521,,,
Санкт-Петербург,etl,123913542,Разработчик хранилища данных и отчетности (DWH/ BI),"585, Холдинг",2025-08-26T16:53:51+0300,https://hh.ru/vacancy/123913542,,,
Санкт-Петербург,etl,124506134,"Data Scientist, NLP",БиАйЭй-Технолоджиз,2025-08-26T16:12:11+0300,https://hh.ru/vacancy/124506134,,,
Санкт-Петербург,etl,124607211,Разработчик баз данных / разработчик SQL / PostgreSQL,Evercode Lab,2025-08-28T19:01:51+0300,https://hh.ru/vacancy/124607211,,,
Санкт-Петербург,etl,122515570,Team Lead BI/SQL (небольшой команды разработчиков баз данных MS SQL),Lasmart,2025-08-28T10:42:25+0300,https://hh.ru/vacancy/122515570,,,
Санкт-Петербург,etl,117721955,Middle+ / Senior Data-инженер,Линсофтверпродакшн,2025-08-25T10:08:19+0300,https://hh.ru/vacancy/117721955,250000.0,370000.0,RUR
Санкт-Петербург,etl,124578590,Руководитель группы BI,SKL Group,2025-08-28T09:55:51+0300,https://hh.ru/vacancy/124578590,,,
Санкт-Петербург,etl,124589954,Системный аналитик DWH,BI Consult,2025-08-28T12:52:50+0300,https://hh.ru/vacancy/124589954,,,
Санкт-Петербург,etl,119842731,Data Engineer,Koronatech,2025-08-27T07:34:05+0300,https://hh.ru/vacancy/119842731,,,
Санкт-Петербург,etl,123716496,Менеджер-практик в отдел BI,Qnits,2025-08-27T18:10:23+0300,https://hh.ru/vacancy/123716496,,200000.0,RUR
Санкт-Петербург,etl,124541672,BI Developer,Aston,2025-08-27T12:24:22+0300,https://hh.ru/vacancy/124541672,,,
Санкт-Петербург,etl,124553188,Бизнес-аналитик BI/RPA,Первый Бит,2025-08-27T15:16:56+0300,https://hh.ru/vacancy/124553188,,,
Санкт-Петербург,etl,119117069,Data Engineer,BI Consult,2025-08-27T15:11:21+0300,https://hh.ru/vacancy/119117069,,,
Санкт-Петербург,etl,119070163,Data Engineer,ГЕРОФАРМ,2025-08-25T17:18:11+0300,https://hh.ru/vacancy/119070163,,,
Санкт-Петербург,etl,124334621,"Data Analyst (SQL, Python, OLAP, Airflow)",Цивин Борис Львович,2025-08-21T15:51:43+0300,https://hh.ru/vacancy/124334621,,,
Санкт-Петербург,etl,120222383,Архитектор DWH,BI Consult,2025-08-27T15:11:32+0300,https://hh.ru/vacancy/120222383,,,
Санкт-Петербург,etl,124589519,Spark Developer,Neoflex,2025-08-28T12:47:19+0300,https://hh.ru/vacancy/124589519,,,
Санкт-Петербург,etl,124162838,Go developer/engineer (High Load Platform),Софтвайс,2025-08-27T11:39:31+0300,https://hh.ru/vacancy/124162838,230000.0,366000.0,RUR
Санкт-Петербург,etl,122480262,Системный аналитик,Napoleon IT,2025-08-28T13:50:19+0300,https://hh.ru/vacancy/122480262,,,
Санкт-Петербург,etl,124309962,"Аналитик данных (релокация в Индию, г. Гургаон)",WIT recruitment,2025-08-21T09:50:42+0300,https://hh.ru/vacancy/124309962,3000.0,,USD
Санкт-Петербург,etl,124362248,Аналитик DWH,IBS,2025-08-22T11:21:27+0300,https://hh.ru/vacancy/124362248,,,
Санкт-Петербург,etl,124322379,BI разработчик / BI аналитик,Selectel,2025-08-21T12:36:17+0300,https://hh.ru/vacancy/124322379,,,
Санкт-Петербург,etl,124293910,Data Engineer,Oil and Gas Production Tools,2025-08-20T17:26:20+0300,https://hh.ru/vacancy/124293910,,,
Санкт-Петербург,etl,111207004,Аналитик отчетных систем DWH,Совкомбанк Технологии,2025-08-22T12:34:03+0300,https://hh.ru/vacancy/111207004,,,
Санкт-Петербург,etl,124381093,Senior Product Analyst / Продуктовый аналитик,Таймвэб.Клауд,2025-08-22T16:33:18+0300,https://hh.ru/vacancy/124381093,180000.0,250000.0,RUR
Санкт-Петербург,etl,124375850,Ведущий Data Engineer,VK,2025-08-22T15:32:02+0300,https://hh.ru/vacancy/124375850,,,
Санкт-Петербург,etl,118471564,Архитектор AI / ML,Первый Бит,2025-08-25T17:46:25+0300,https://hh.ru/vacancy/118471564,,,
Санкт-Петербург,etl,124248973,Аналитик данных,Доксинбокс,2025-08-20T00:56:06+0300,https://hh.ru/vacancy/124248973,180000.0,230000.0,RUR
Санкт-Петербург,etl,124361571,Ведущий Spark разработчик (офис),Neoflex,2025-08-22T11:17:11+0300,https://hh.ru/vacancy/124361571,,,
Санкт-Петербург,etl,124275156,Разработчик BI,NOVARDIS,2025-08-20T12:41:26+0300,https://hh.ru/vacancy/124275156,,,
